CometBFT Address,Name,CometBFT Pubkey,Operator Address
0E1982A8083CF41A0B0CDF3CC1A42F5540FC211A,1XP,0x97266c94c490662479a9188b070c86e505df4f167016883af4114c8c1a71429e8f270c0c2f1b74375880f81828b768c0,0xfd407bfe9004692e66e91d0067f06829e98285e1
19395121376B12A00F8C6AD5FE8C3AD9A77CBFC1,BitGo,0xa47aa6bd157dfa6ab6f411384a662c3d4d4f8745217ea8198470d6f3135bd71958fd824256fdbf16b21494ec3080b7ee,0xe62358d66277dfc5984166157bc974e13dec614a
19D48D2EBF5A4D5C31228C47828BDF6BFDD7B77A,Enigma,0xb577aa07f35ba1651b266f7f316ed1cd10907d0064e01dbcb502ec8c39bc1fc01acde07f4755ad0d414832fa2e2b5629,0x74704a0ad66f8f0a874c90bb25435ae4e713abf1
1D4DCFB35BE65B5E09C4270F0B4E3329F967B4E2,L0vd,0xa3539ca28e0fd74d2a3c4c552740be77d6914cad2d8ec16583492cc57e8cfa358c62e31cc9106b1700cc169962855a6f,0x509b8fb5e3964d3c71802fa6eb4dee4fecceadd1
2FBB6C9798950CDE7647CB68602498874336999F,GhostGraph,0x80305831f81c688a6814ebf9d9b842e28a20b425864c480fab6f52e41541853eab39e77ca68248d096bd4d5499b24b7e,0xc8ef7accf806cc6857cac2262fc3aec3832645c2
39CCAF0EB8D31A9592ABA51B6705ABBBFC38086C,Validation Cloud,0x89c7f0d4cbace56294b624f6fa1b27beaa5afc9dab7072383c5f63f636e9f78f9e868a82e6684a72068199461f1f1c15,0xe83b02d5ca835727a8af5b417b2a161a1e0abec5
3AECCB026FAEA18F43E79FE116CB1B94E768075C,CoinSummer,0xa7f3186065f3f18a4b21b661f40941b942dad39062d9df399d94a18870e0600f1ccab51ee71ca5d6f971b79c2e51d6de,0x189a95fa7c0316ee7d21ac76e9e93452d7b40046
41462F6C19492B6FF4F5FAF7D6ED16E1264D1AAE,Coinage x DAIC,0xa769858cabcbe2fa239997e676e378f2037a679a1cf674679c40e410ffa9e72921781c24af7cc79969361559e88615de,0xacc73a3c87b28331bb99ada08b10b8def4a41347
45C2BA0FF19BCB262FA5713E993FBA4408258BC1,Figment,0xb2faa51f9cf1a8c818459034941d965445bda15b212661f74f09394f2febe40c1f8feeba0cedcafd4ad28a944afb2b2c,0x2e82f99bb47359d98097aeb1a0e3fba0187ef888
4D21CFCB799E0C9B66CE566F6AB68BCCCBC75FDA,[NODERS],0x8db0c2f3475fbe90310e7b2ed608546dae7aa5d0fe7f3d2775c2e18ab0e87368bc8c670de021f7740f2f82e6d54a8131,0x917610f4b877ede8aedb7506d4fe83d61c6c4513
4F5F37B9DB46C29C48C0B2231BEAD3E14F04CD1A,MantiCore,0xb40cc8701d344c41054a3d028bb5f5f0702f7c228b22bdc9081541808c101808d3db2c130d64359efdd7589365b8f05b,0xacb0e88f7497bfc5fe2d139008792d9ba81a0f6e
64703E2FCEA0339EDE427510BE1642F4E53FC4D0,Simply Staking,0x8148ddb478a291cf6a16fb98195e3076aad319ca8821b4aef69c8d1d45c8ed49d61109a1cbc029b58f22f5bb60854fe4,0x03daa833f0994d877a52d3841975c685d131ec7c
65697A8BAA1891DC3D466DFEDBE51EAC264936B7,RHINO 🦏,0x93012bdcf6baa87c1737df03c5fac7c8bb447282fbca5d2de42726ec67f237d66a2f867853e32ebd295010f075f22e95,0x2bb47e75627b3a4479f36b35c17fd1ed21def3f5
7299ADB3E975B1A7B461F45C4CCA6AFA39DBC9A7,NodesGuru,0xa6194b4dc5f7c8bd00666cbe1a9490eae3306ff397c4d198395dd938100fc3828e2d072a1bf6f256299f9cdb8d2b42f0,0x42596de5946d620168300cd61b09dced422caef7
8A93B739376EBA41191E593847B1C844E66F29CA,ContributionDAO,0xa9504e88e6e969bd31a194c7c81df0e44b4644d0db81ad712d55023c5c6e1ac656558f27c8f8bac65c1fe72c597e6578,0x1db944ac153a3ca89092768e5bbc3397bd288a33
901FB60F9AF7935456867CFC8355B70FA226A069,Kodiak,0x8e3b35bd379652019fe8f341c5c854a60f55772016340781e8d3577e2b24e1ac0d5786d45459cd756810281eff8f729c,0x08836aabe6b7109a8660f146cc196db8638df938
A49685C59E968B2B097B0CB09E8D08D6B7FCD69E,Quantnode,0x98beef4053d097aa1527a70301021a363fd3b92754a446932f5c97e7daa9c8d0bcf2ed315e7a55775a8bbe5ebe134ffb,0xafcfc9c62ec35c36ff6e68c758b8a4522825bf2e
C9D2DCB223D4353076E6A0E7E82DD99E42980CCA,StakeUs,0xa232a81b5e834b817db01d85ee13e36552b48413626287de511b6c89b7b8ff4a448e865713fd21c98f1467a58fe6efe5,0xc047c59b4f8b5ad1ce755b3b36e6e5cba9b3d781
CCB476A8C39D26D81428AB9FBD848F9B17E1BCE0,Brightlystake,0x964dd0632d0ed772dd0b5a269e9809be5b742df0ad4463552c7b51beef6baf6021360db60b0428ff1c4c38661c02b283,0xfdae5d408479049eef8dabb7899968e048dd6679
D94347C994432FFC131B1FA33A61159E5FAB7D5F,InfStones,0xb1580b412431ff7a1cca16045f0996740a5e52ebd1aeff6359415d99886b89a3506b36bd71af132a5dcb989e7a89b58d,0xa253e301e63a23e25a5605907b80e2807c043ecf
E1E054EDC9AEBA25B10965C927AB35D173080DC9,B-Harvest,0xa3ae000f40c06c1af1c40d713370a5fbf2cc28fdd6a03b36b751a1eb28a5699eea469d7b337981081facc738c326091d,0x143038266f4c508237dab73723adc79e6081d85f
F1D993F20EFE45757E62F9AEB6BB14B15DBF2AE2,StakeTab,0xb255e317f7e6415eab053180c8e36b5f6312c1e6ee1e884a26c490aa4121595574656ed89c83e0d6afd5e2b33c00b101,0xb79fcfb153be906bfa668e96a31e921accec7ece
F314C84E265C6CF2D834F0CAAD99900CF6857FB2,Blockscape,0x98b7240b6aa60283ef2733840dc0996b1a16b68b38f9cbd83e5b7dda516d47b8279449f14c5b6a3d2bd8e74816ce2cae,0x0648e7368010dee4331a7800ce7fe5ea5cb7c100
FDCD7DBB810E66664F7ACA241E05834DDB79A5E0,KysenPool,0x8bca787da4be8b093c0e8bb9e62311ee61459140cd616aad48dbcab233a163da85994869983e74658fa53af595432df4,0x0dd2b4a99905d971da8ddbdcf486daf7ab4bee1c
